data;production_manufatura_ind
jan/02;73.0
fev/02;70.4
mar/02;78.0
abr/02;80.4
mai/02;81.2
jun/02;78.1
jul/02;84.1
ago/02;84.4
set/02;83.1
out/02;90.3
nov/02;84.9
dez/02;75.3
jan/03;74.3
fev/03;72.3
mar/03;77.8
abr/03;77.0
mai/03;80.1
jun/03;76.9
jul/03;82.0
ago/03;82.2
set/03;86.6
out/03;91.1
nov/03;85.5
dez/03;78.3
jan/04;77.3
fev/04;74.5
mar/04;87.9
abr/04;83.0
mai/04;87.3
jun/04;87.0
jul/04;91.0
ago/04;93.0
set/04;93.2
out/04;94.5
nov/04;92.9
dez/04;85.3
jan/05;81.5
fev/05;77.0
mar/05;88.8
abr/05;87.5
mai/05;91.5
jun/05;91.9
jul/05;90.9
ago/05;96.3
set/05;92.6
out/05;94.2
nov/05;93.1
dez/05;86.9
jan/06;83.6
fev/06;80.5
mar/06;92.8
abr/06;85.8
mai/06;95.7
jun/06;91.5
jul/06;94.0
ago/06;99.1
set/06;93.6
out/06;97.9
nov/06;96.3
dez/06;86.8
jan/07;86.9
fev/07;82.7
mar/07;96.8
abr/07;90.8
mai/07;100.3
jun/07;97.2
jul/07;100.1
ago/07;105.5
set/07;98.8
out/07;108.7
nov/07;103.1
dez/07;92.3
jan/08;94.8
fev/08;91.2
mar/08;98.0
abr/08;99.7
mai/08;102.6
jun/08;103.6
jul/08;108.8
ago/08;107.1
set/08;107.8
out/08;108.9
nov/08;96.7
dez/08;79.2
jan/09;78.7
fev/09;76.3
mar/09;88.8
abr/09;85.5
mai/09;91.6
jun/09;92.4
jul/09;98.0
ago/09;100.0
set/09;100.0
out/09;106.4
nov/09;102.2
dez/09;94.2
jan/10;91.0
fev/10;89.1
mar/10;105.6
abr/10;99.6
mai/10;104.6
jun/10;102.8
jul/10;107.1
ago/10;108.4
set/10;106.0
out/10;108.2
nov/10;107.3
dez/10;96.2
jan/11;92.8
fev/11;95.7
mar/11;104.8
abr/11;97.6
mai/11;107.4
jun/11;102.9
jul/11;106.2
ago/11;111.2
set/11;105.0
out/11;106.5
nov/11;104.3
dez/11;95.1
jan/12;88.2
fev/12;89.4
mar/12;99.8
abr/12;92.3
mai/12;102.2
jun/12;98.0
jul/12;104.6
ago/12;112.5
set/12;104.2
out/12;112.3
nov/12;105.8
dez/12;90.8
jan/13;94.5
fev/13;88.4
mar/13;98.7
abr/13;103.2
mai/13;106.2
jun/13;102.3
jul/13;109.0
ago/13;113.3
set/13;108.6
out/13;113.7
nov/13;106.9
dez/13;88.9
jan/14;92.2
fev/14;93.0
mar/14;97.3
abr/14;96.0
mai/14;101.6
jun/14;94.1
jul/14;104.1
ago/14;105.8
set/14;105.3
out/14;108.9
nov/14;99.1
dez/14;84.8
jan/15;85.7
fev/15;81.9
mar/15;92.7
abr/15;86.5
mai/15;90.9
jun/15;90.3
jul/15;93.5
ago/15;95.4
set/15;92.3
out/15;95.5
nov/15;86.6
dez/15;74.6
jan/16;74.6
fev/16;74.4
mar/16;82.8
abr/16;82.1
mai/16;84.8
jun/16;86.6
jul/16;88.2
ago/16;91.9
set/16;89.4
out/16;88.7
nov/16;84.8
dez/16;73.7
jan/17;74.9
fev/17;73.7
mar/17;83.7
abr/17;77.2
mai/17;88.4
jun/17;86.7
jul/17;90.6
ago/17;95.7
set/17;91.8
out/17;94.0
nov/17;89.4
dez/17;78.4
jan/18;79.8
fev/18;75.9
mar/18;85.0
abr/18;85.4
mai/18;81.9
jun/18;89.6
jul/18;94.6
ago/18;97.5
set/18;89.5
out/18;94.4
nov/18;87.9
dez/18;74.3
jan/19;77.8
fev/19;79.0
mar/19;80.7
abr/19;84.6
mai/19;91.5
jun/19;85.6
jul/19;93.1
ago/19;95.5
set/19;91.0
out/19;96.8
nov/19;87.4
dez/19;74.8
jan/20;79.1
fev/20;78.7
mar/20;77.2
abr/20;57.7
mai/20;69.9
jun/20;77.4
jul/20;90.2
ago/20;93.1
set/20;95.5
out/20;97.9
nov/20;91.0
dez/20;82.5
jan/21;81.1
fev/21;79.6
mar/21;86.4
abr/21;81.0
mai/21;88.0
jun/21;87.6
jul/21;91.9
ago/21;92.7
set/21;90.8
out/21;89.9
nov/21;86.1
dez/21;77.6
jan/22;75.2
fev/22;75.9
mar/22;84.5
abr/22;80.5
mai/22;89.5
jun/22;87.8
jul/22;92.0
ago/22;96.5
set/22;91.8
out/22;91.1
nov/22;87.2
dez/22;77.0
